ID	EN	SP	FR	GE	RU		
ExitGameHeader	Exit Game?	¿Salir del juego?	Quitter le jeu ?	Spiel beenden?	Выйти из игры?		
TravelButton	Travel	Viajar	Voyager	Reisen	Путешествовать		
SandboxButton	Sandbox	Caja de arena	Bac à sable	Sandkasten	Песочница		
DiveLogButton	Dive Log	Registro de inmersiones	Journal de plongée	Tauchprotokoll	Журнал погружений		
SettingsButton	Settings	Configuración	Paramètres	Einstellungen	Настройки		
CreditsButton	Credits	Créditos	Crédits	Credits	Авторы		
ExitGameButton	Quit to Desktop	Salir al escritorio	Quitter vers le bureau	Zum Desktop beenden	Выйти на рабочий стол		
CommunityButton	Community	Comunidad	Communauté	Gemeinschaft	Сообщество		
SettingsHeader	Game Settings	Configuración	Paramètres	Einstellungen	Настройки		
LanguageLabel	Language:	Idioma	Langue	Sprache	Язык		
GameModeSettingLabel	Game Mode: 	Modo de juego	Mode de jeu	Spielmodus	Режим игры		
VisibilitySettingLabel	Visibility	Visibilidad	Visibilité	Sichtbarkeit	Видимость		
CurrentSettingLabel	Currents	Corrientes	Courants	Strömungen	Течения		
WaveIntensityLabel	Wave Intensity: 	Intensidad de olas	Intensité des vagues	Wellenintensität	Интенсивность волн		
SpawnFishSettingLabel	Spawn Fish?: 	¿Generar peces?	Générer des poissons ?	Fische erzeugen?	Создавать рыбу?		
SFXVolumeLabel	Sound Effects 	Volumen de efectos	Volume des effets	Effektlautstärke	Громкость эффектов		
AmbienceVolumeLabel	Ambience Volume	Volumen ambiental	Volume d'ambiance	Umgebungslautstärke	Громкость окружения		
PurchaseButton	Purchase	Comprar	Acheter	Kaufen	Купить		
NoPurchaseButton	Insufficient Credits	Créditos insuficientes	Crédits insuffisants	Nicht genügend Guthaben	Недостаточно кредитов		
CostLabel	Cost	Costo	Coût	Kosten	Стоимость		
CostUnits	Credits	Créditos	Crédits	Guthaben	Кредиты		
CreditStoreHeader	Discovery Shop	Tienda de descubrimientos	Boutique Découverte	Entdeckungsladen	Магазин открытий		
PlayerMenuHeader	Player Menu	Menú del jugador	Menu du joueur	Spielermenü	Меню игрока		
Gloves	Gloves	Guantes	Gants	Handschuhe	Перчатки		
Powers	Powers	Poderes	Pouvoirs	Kräfte	Способности		
Equip	Equip	Equipar	Équiper	Ausrüsten	Экипировать		
CantEquip	Equipped	Equipado	Équipé	Ausgerüstet	Экипировано		
Active	Active	Activo	Actif	Aktiv	Активно		
Inactive	Inactive	Inactivo	Inactif	Inaktiv	Неактивно		
