ID	EN	SP	FR	GE	RU	NL	AR
basic_controls	Basic Controls	Controles básicos	Contrôles de base	Grundsteuerung	Основные элементы управления	Basisbediening	عناصر التحكم الأساسية
lionfish_hunting_1	Lionfish Hunting 1 of 3	Caza de pez león 1 de 3	Chasse de rascasse 1 sur 3	Fischjagd 1 von 3	Охота на рыбу-льва 1 из 3	Jacht op koraalduivel 1 van 3	صيد سمكة الأسد 1 من 3
lionfish_hunting_2	Lionfish Hunting 2 of 3	Caza de pez león 2 de 3	Chasse de rascasse 2 sur 3	Fischjagd 2 von 3	Охота на рыбу-льва 2 из 3	Jacht op koraalduivel 2 van 3	صيد سمكة الأسد 2 من 3
lionfish_hunting_3	Lionfish Hunting 3 of 3	Caza de pez león 3 de 3	Chasse de rascasse 3 sur 3	Fischjagd 3 von 3	Охота на рыбу-льва 3 из 3	Jacht op koraalduivel 3 van 3	صيد سمكة الأسد 3 من 3
lf_inst_1	Press B to equip spear	Presiona B para equipar la lanza	Appuyez sur B pour équiper la lance	Drücke B, um den Speer auszurüsten	Нажмите B, чтобы взять копье	Druk op B om de speer uit te rusten	اضغط B لتجهيز الحربة
lf_inst_2	Grip top of spear with off hand	Sujeta la parte superior de la lanza con la mano libre	Saisissez le haut de la lance avec la main secondaire	Fasse den oberen Teil des Speers mit der freien Hand	Возьмитесь за верхнюю часть копья слабой рукой	Pak de bovenkant van de speer met je andere hand	أمسك الجزء العلوي من الحربة بيدك الأخرى
lf_inst_3	Release main hand grip	Suelta el agarre de la mano principal	Relâchez la prise de la main principale	Lass den Griff der Haupt-Hand los	Освободите захват основной руки	Laat de grip van je hoofdhand los	حرر قبضة اليد الرئيسية
lf_inst_4	Bring hands together	Acerca las manos	Rapprochez les mains	Bringe die Hände zusammen	Сведите руки вместе	Breng je handen bij elkaar	قرب اليدين من بعضهما
lf_inst_5	Release off hand grip	Suelta el agarre de la mano libre	Relâchez la prise de la main secondaire	Lass den Griff der freien Hand los	Освободите захват второй руки	Laat de grip van je andere hand los	حرر قبضة يدك الأخرى
lf_inst_6	Maintain main hand grip	Mantén el agarre de la mano principal	Maintenez la prise de la main principale	Halte den Griff der Haupt-Hand	Сохраняйте захват основной руки	Houd de grip van je hoofdhand vast	حافظ على قبضة اليد الرئيسية
lf_inst_7	The spear is now ready to fire	La lanza está ahora lista para disparar	La lance est maintenant prête à être tirée	Der Speer ist jetzt bereit zum Abschuss	Копье теперь готово к выстрелу	De speer is nu klaar om te vuren	الحربة جاهزة الآن للإطلاق
lf_inst_8	Take aim and release grip	Apunta y suelta el agarre	Visez et relâchez la prise	Ziele und lasse den Griff los	Прицельтесь и отпустите захват	Richt en laat de grip los	وجه السلاح وحرر القبضة
lf_inst_9	A zookeeper will appear in your left hand	Un cuidador de animales aparecerá en tu mano izquierda	Un soigneur apparaîtra dans votre main gauche	Ein Tierpfleger erscheint in deiner linken Hand	В вашей левой руке появится смотритель	Een dierenverzorger verschijnt in je linkerhand	سيظهر حارس حديقة الحيوان في يدك اليسرى
lf_inst_10	Slide the lionfish in	Desliza el pez león adentro	Faites glisser le poisson-lion à l'intérieur	Schiebe den Rotfeuerfisch hinein	Вдвиньте рыбу-льва внутрь	Schuif de koraalduivel erin	حرك سمكة الأسد إلى الداخل
lf_inst_11	Pull the spear out	Tira de la lanza hacia afuera	Tirez la lance vers l'extérieur	Zieh den Speer heraus	Вытяните копье	Trek de speer eruit	اسحب الحربة للخارج						
guide	Guide	Guía	Guide	Leitfaden	Гид	Gids	دليل
